Name,taxonomy_id,genome_size,,Source (only if perplexity ai is used)
Rubrobacter indicoceani,2051957,3078689,,
Thermotoga caldifontis,1508419,2014912,,
Prevotella enoeca,76123,2861432,,
Neisseria zoodegmatis,326523,2552522,,
Maribacter sp. MAR_2009_60,1250153,"3,868,304",,https://www.genome.jp/kegg-bin/show_organism?org=fbc
Devosia sp. I507,2083786,4005916,,
Marinomonas mediterranea,119864,4684316,,
Soehngenia sp. W6,1582259,2356157,,
Polaribacter sp. SA4-10,754397,2709240,,
Verrucomicrobia bacterium S94,2488809,4107983,,
Elizabethkingia ursingii,1756150,4134086,,
Sebaldella termitidis,826,4486650,,
Acinetobacter venetianus,52133,3458264,,
Zymomonas mobilis,542,2163236,,
Micavibrio aeruginosavorus,349221,2481983,,
Serratia sp. SCBI,488142,5101896,,
Desulfatibacillum aliphaticivorans,218208,6517073,,
Pseudomonas sp. CCOS 191,1649877,5855615,,
Frondihabitans sp. PAMC 28766,1795630,4766863,,
Variovorax sp. PAMC 28711,1795631,4316152,,
[Eubacterium] minutum,76124,1780623,,
Pseudoalteromonas translucida,166935,3850272,,
Pseudomonas mandelii,75612,6749770,,
Thermotoga petrophila,93929,1823511,,
Rothia dentocariosa,2047,2506025,,
Pimelobacter simplex,2045,5637360,,
Psychrobacter sp. DAB_AL43B,1028416,3309148,,
Desulfosporosinus youngiae,339862,5660978,,
Mycoplasma pulmonis,2107,962791,,
Jeotgalibaca dankookensis,708126,2116498,,
Vibrio qinghaiensis,2025808,4017713,,
Shinella sp. HZN7,879274,7354253,,
Parolsenella catena,2003188,1796691,,
Desulfitobacterium metallireducens,142877,3176073,,
Acidobacteriaceae bacterium SBC82,2211140,7600726,,
Libanicoccus massiliensis,1871022,2009306,,
Desulfohalobium retbaense,45663,2909567,,
Paenibacillus mucilaginosus,61624,8819200,,
Leptospira tipperaryensis,2564040,4591888,,
Thermodesulfobium acidiphilum,1794699,1774794,,
Geobacillus thermoleovorans,33941,3507020,,
Lactococcus piscium,1364,2405003,,
Halobacillus litoralis,45668,4001992,,
Micromonospora sp. B006,2201999,7040153,,
Saccharomonospora azurea,40988,4763852,,
Sphingopyxis sp. LPB0140,1913578,2533041,,
Ammonifex degensii,42838,2157067,,
Rickettsiales endosymbiont of Stachyamoeba lipophora,2486578,1738386,,
Shewanella piezotolerans,404011,5396476,,
Halobacillus mangrovi,402384,4142697,,
Parabacteroides distasonis,823,5112778,,
Marinobacter sp. BSs20148,490759,4063864,,
Enterococcus sp. FDAARGOS_375,2060307,3549293,,
Murdochiella vaginalis,1852373,1671491,,
Comamonas kerstersii,225992,3547915,,
Synechococcus lividus,33070,2659739,,
Actinomyces pacaensis,1852377,1892549,,
Zymobacter palmae,33074,3028543,,
Ezakiella massiliensis,1852374,1741785,,
Kitasatospora albolonga,68173,8679187,,
Curvibacter sp. AEP1-3,1844971,3879660,,
Janibacter limosus,53458,3378259,,
Clostridium saccharoperbutylacetonicum,36745,6666445,,
Akkermansia glycaniphila,1679444,3074078,,
Planococcus maritimus,192421,3280721,,
Bifidobacterium thermophilum,33905,2316133,,
Xanthomonas oryzae,347,4846413,,
Dermacoccus nishinomiyaensis,1274,3113642,,
Bradyrhizobium sp. ORS 3257,167468,"8,156,021",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6346162/
Campylobacter subantarcticus,497724,1852995,,
Dietzia psychralcaliphila,139021,3904836,,
Chryseobacterium shandongense,1493872,4390955,,
Desulfotomaculum reducens,59610,3608104,,
Fusobacterium gonidiaformans,849,1678881,,
Elizabethkingia sp. JS20170427COW,2583851,2691279,,
Alicycliphilus denitrificans,179636,4835713,,
Cystobacter fuscus,43,12282374,,
Brevundimonas naejangsanensis,588932,3164519,,
Cellulosilyticum lentocellum,29360,4714237,,
Pseudomonas sp. HLS-6,2049589,5276694,,
Candidatus Erwinia haradaeae,1922217,1112955,,
Pseudoalteromonas sp. 13-15,1761891,4099967,,
Amycolatopsis japonica,208439,9053857,,
Dictyoglomus turgidum,513050,1855560,,
Sphingosinicella microcystinivorans,335406,3963648,,
Thermosipho sp. 1070,1437364,1781851,,
Lactobacillus ruminis,1623,2066652,,
[Mannheimia] succiniciproducens,157673,2314078,,
Lactobacillus sanfranciscensis,1625,1310991,,
Thermoactinomycetaceae bacterium SCSIO 07575,2490858,2751094,,
Desulfovibrio alaskensis,58180,3730232,,
Weissella viridescens,1629,1593241,,
Synechococcus sp. WH 8102,84588,2434428,,
Mycoplasma gallopavonis,76629,1028044,,
Paenibacillus sp. 18JY67-1,2495582,6632345,,
Acetobacter orientalis,146474,2910689,,
Legionella geestiana,45065,2666749,,
Kocuria flava,446860,3638342,,
Legionella lansingensis,45067,2989256,,
Enterobacter roggenkampii,1812935,4899997,,
Oceanicoccus sagamiensis,716816,4472079,,
Jeotgalibaca sp. H21T32,2496265,2950593,,
Altererythrobacter mangrovi,1982042,2702851,,
Shewanella sp. TH2012,1965282,4858998,,
Pseudomonas furukawaii,1149133,6242949,,
Burkholderia sp. Bp7605,1740163,"7,027,358",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10308117/
Rhodovulum sp. P5,1564506,4473545,,
Streptomyces puniciscabiei,164348,9146138,,
Pectobacterium carotovorum,554,4892225,,
Dickeya chrysanthemi,556,4813854,,
Enterobacter cloacae,550,5023439,,
Pantoea ananatis,553,4867131,,
Erwinia amylovora,552,3833832,,
Borreliella valaisiana,62088,1258864,,
Frankia inefficax,298654,8815781,,
Blattabacterium sp. (Cryptocercus kyebangensis),298656,637356,,
Pseudoalteromonas spongiae,298657,4752413,,
Microbacterium sp. XT11,367477,3475315,,
Sediminicola sp. YIK13,1453352,3569807,,
Rothia aeria,172042,2707814,,
Weissella jogaejeotgali,1631871,2149545,,
Thioclava nitratireducens,1915078,4238255,,
Calothrix brevissima,938406,9257480,,
Staphylococcus cohnii,29382,2694244,,
Candidatus Planktophila limnetica,573600,1328793,,
Mycobacterium intracellulare,1767,5645778,,
Mycoplasma ovipneumoniae,29562,1081520,,
Microchaete diplosiphon,1197,10126555,,
Oenococcus kitaharae,336988,1842238,,
Staphylococcus caprae,29380,2598513,,
Chthonomonas calidirosea,454171,3437861,,
Thermodesulfatator indicus,171695,2322224,,
Corynebacterium falsenii,108486,2561893,,
Thermoanaerobacter ethanolicus,1757,3001460,,
Flammeovirga sp. L12M1,2494373,6680108,,
Tabrizicola sp. K13M18,2494374,4387422,,
Pseudopropionibacterium propionicum,1750,3402349,,
Chryseobacterium sp. T16E-39,2015076,4872888,,
Citrobacter freundii complex sp. CFNIH9,2077149,5688355,,
Arthrobacter sp. ATCC 21022,1771959,4481650,,
Bradyrhizobium sp. WSM471,319017,7784770,,
Sphaerochaeta coccoides,273376,2227296,,
Staphylococcus kloosii,29384,2639038,,
Citrobacter freundii complex sp. CFNIH3,2077147,5634842,,
Methylobacterium currus,2051553,7745135,,
Mycobacterium sp. PYR15,2051552,6037017,,
Treponema sp. OMZ 838,1539298,2708067,,
Pseudomonas vancouverensis,95300,6424905,,
Microcella alkaliphila,279828,2687802,,
Bacillus sp. FJAT-42376,2014076,4253348,,
Thermotoga sp. 2812B,1157948,1843731,,
Mycolicibacterium vaccae,1810,6235754,,
Brevundimonas sp. GW460-12-10-14-LB2,1827469,3263775,,
Arthrobacter alpinus,656366,4458287,,
Escherichia sp. E4742,2044467,5114790,,
Actinosynnema mirum,40567,8248144,,
Tsukamurella paurometabola,2061,4479724,,
Pseudomonas sp. LG1E9,2219057,6243355,,
Pandoraea oxalativorans,573737,6500731,,
Staphylococcus simulans,1286,2682239,,
Staphylococcus carnosus,1281,2576833,,
Staphylococcus aureus,1280,2821361,,
Staphylococcus haemolyticus,1283,2560146,,
Staphylococcus epidermidis,1282,2491058,,
Cetia pacifica,1424653,1871566,,
Desulfovibrio gigas,879,3796022,,
Staphylococcus xylosus,1288,2757557,,
Acinetobacter haemolyticus,29430,3441166,,
Sphingopyxis macrogoltabida,33050,5748623,,
Lactobacillus acidophilus,1579,1991579,,
Vibrio mediterranei,689,5651202,,
Moraxella ovis,29433,2306095,,
Auricoccus indicus,1849491,"3,948,785",,https://lpsn.dsmz.de/species/auricoccus-indicus
Phreatobacter stygius,1940610,7354671,,
Elizabethkingia miricola,172045,4286053,,
Vibrio gazogenes,687,4712479,,
Halobacillus halophilus,1570,4170008,,
Phreatobacter sp. NMCR1094,2570229,4975052,,
Vibrio campbellii,680,5425575,,
Nocardioides sp. dk3136,2575373,"4,983,685",,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.004218
Mycobacterium sp. JS623,212767,7221766,,
Salegentibacter salegens,143223,4010099,,
Mycoplasma ovis,171632,702511,,
Bacteroides caecimuris,1796613,4839927,,
Shigella dysenteriae,622,5192674,,
Chromobacterium vaccinii,1108595,5041230,,
Shigella boydii,621,4825405,,
Nitrosospira lacus,1288494,3261088,,
Marmoricola scoriae,642780,4058582,,
Agromyces flavus,589382,3692408,,
Mycoplasma hyosynoviae,29559,889181,,
Streptomyces sp. CMB-StM0423,2059884,8029398,,
Nostoc sp. PCC 7107,317936,6329823,,
Microbacterium pygmaeum,370764,3668670,,
Halomonas venusta,44935,4282261,,
Bosea sp. Tri-49,1867715,6454112,,
Candidatus Nanopelagicus limnes,1884634,1238108,,
Nocardia cyriacigeorgica,135487,6462637,,
Capnocytophaga cynodegmi,28189,2640475,,
Phyllobacterium zundukense,1867719,6208009,,
Acetohalobium arabaticum,28187,2469596,,
Mesoplasma entomophilum,2149,847967,,
Oenococcus sicerae,2203724,1664394,,
Streptococcus porcinus,1340,1954699,,
Methylobacillus flagellatus,405,2971517,,
Alphaproteobacteria bacterium WS11,2341112,4356607,,
Planococcus kocurii,1374,3485580,,
Aerococcus viridans,1377,2199877,,
Aerococcus urinae,1376,1974262,,
Gemella haemolysans,1379,1926227,,
Anoxybacter fermentans,1323375,3557532,,
Lactobacillus crispatus,47770,2039404,,
Rhizobium jaguaris,1312183,8025568,,
Methylorubrum extorquens,408,6123851,,
Chryseobacterium gallinarum,1324352,4338935,,
Chryseobacterium carnipullorum,1124835,5459074,,
Sphingopyxis sp. MG,1866325,4222860,,
Pseudomonas granadensis,1421430,5943170,,
Hymenobacter sp. sh-6,2319843,4188814,,
Acinetobacter sp. WCHAc010005,2004650,3737289,,
Haemophilus pittmaniae,249188,2181355,,
Acholeplasma laidlawii,2148,1491638,,
Schaalia cardiffensis,181487,2230588,,
Variovorax sp. HW608,1034889,7733665,,
Sulfurospirillum multivorans,66821,3175729,,
Spirosoma montaniterrae,1178516,5797678,,
Pseudomonas alcaligenes,43263,4406305,,
Macrococcus caseolyticus,69966,2170973,,
Alteromonas naphthalenivorans,715451,4972148,,
Pandoraea pulmonicola,93221,5867621,,
Pandoraea pnomenusa,93220,5385946,,
Onion yellows phytoplasma,100379,853092,,
Pandoraea sputorum,93222,5743123,,
Delftia tsuruhatensis,180282,6944081,,
Pseudomonas salegens,1434072,3796105,,
Bradyrhizobium sp. ORS 285,115808,7699676,,
Enterococcus sp. FDAARGOS_553,2420313,3283483,,
Martelella endophytica,1486262,4817335,,
Methylophilus sp. TWE2,1662285,3079044,,
Candidatus Portiera aleyrodidarum,91844,358242,,
Bacillus thermoamylovorans,35841,3838250,,
Aeromonas sp. ASNIH7,1920107,4868657,,
Microbacterium sp. LKL04,912630,2922123,,
Streptomyces malaysiensis,92644,11163500,,
Agrobacterium vitis,373,5754491,,
Thioalkalivibrio sulfidiphilus,1033854,3464554,,
Bradyrhizobium japonicum,375,9226248,,
Bradyrhizobium sp.,376,5667120,,
Capnocytophaga sputigena,1019,2855148,,
Streptomyces sp. TN58,234612,7585034,,
Weissella cibaria,137591,2363492,,
Pseudomonas balearica,74829,4383480,,
Mycobacterium marseillense,701042,5285642,,
Mycobacterium sp. DL90,2487344,6905961,,
Ruegeria sp. TM1040,292414,4153699,,
Caulobacter henricii,69395,3957288,,
Bifidobacterium actinocoloniiforme,638619,1830060,,
Sulfitobacter sp. BSw21498,664426,3244919,,
Sphingobacterium psychroaquaticum,561061,4396536,,
Rhodococcus sp. P1Y,1302308,5868661,,
Halomonas sp. SF2003,2136172,4358421,,
Fabibacter pacificus,1267423,4660771,,
Paenibacillus sp. FSL R7-0273,1536772,7254367,,
Bartonella tribocorum,85701,2642404,,
Neorhizobium galegae,399,6455027,,
Candidatus Accumulibacter phosphatis,327160,5044133,,
Paenibacillus sp. FSL H7-0357,1536774,7692700,,
Pseudomonas extremaustralis,359110,6674429,,
Colwellia sp. Arc7-D,2161872,4305442,,
Obesumbacterium proteus,82983,4667142,,
Butyrivibrio hungatei,185008,3386314,,
Candidatus Planktophila lacus,1884913,1384812,,
Candidatus Planktophila dulcis,1884914,1361776,,
Tatumella ptyseos,82987,3539047,,
Candidatus Nanopelagicus abundans,1884916,1161863,,
Pragia fontium,82985,4038704,,
Caulobacteraceae bacterium OTSz_A_272,1759059,3732719,,
Deinococcus irradiatisoli,2202254,3052043,,
Rickettsia raoultii,369822,1321360,,
Staphylococcus felis,46127,2479423,,
Nitrosomonas sp. AL212,153948,"3,337,023",,https://www.genome.jp/kegg-bin/show_organism?org=nit
Chryseobacterium haifense,421525,2845737,,
Acidihalobacter ferrooxidans,1765967,3448835,,
Chloroherpeton thalassium,100716,3293456,,
Nautilia profundicola,244787,1676444,,
Francisella sp. FDC440,2007306,2054094,,
Alicyclobacillus acidocaldarius,405212,3205686,,
Arcobacter molluscorum,1032072,2800582,,
Corynebacterium casei,160386,3132213,,
Hungatella hathewayi,154046,6646572,,
Capnocytophaga canimorsus,28188,2414275,,
Christensenella massiliensis,1805714,2307530,,
Rhizobium sp. IE4771,1301032,6435176,,
Citrobacter sp. FDAARGOS_156,1702170,4839770,,
Cohnella sp. HS21,2507935,7059027,,
Brenneria goodwinii,1109412,5360730,,
Candidatus Phaeomarinobacter ectocarpi,1458461,3415905,,
Chryseobacterium balustinum,246,4974086,,
Burkholderiales bacterium YL45,1834205,2923112,,
Shewanella sp. W3-18-1,351745,4708380,,
Thermotoga maritima,2336,1869644,,
Corynebacterium segmentosum,43990,2373440,,
Weissella paramesenteroides,1249,2052536,,
Achromobacter denitrificans,32002,6736877,,
Candidatus Rhodoluna planktonica,535712,1424506,,
Kozakia baliensis,153496,3093577,,
Lactobacillus amylolyticus,83683,1601193,,
Prosthecochloris sp. CIB 2401,1868325,2399849,,
Altererythrobacter ishigakiensis,476157,2673978,,
Enterobacter soli,885040,5012132,,
Acidobacterium capsulatum,33075,4127356,,
Dehalobacter restrictus,55583,3049426,,
Bacillus sonorensis,119858,4647754,,
Erwinia sp. Ejp617,215689,3957675,,
Petrotoga mobilis,69499,2169548,,
Brevibacillus agri,51101,5374818,,
Pseudonocardia sp. AL041005-10,445576,6143341,,
Alkalitalea saponilacus,889453,4775573,,
Candidatus Blochmannia pennsylvanicus,101534,791654,,
Candidatus Pelagibacter sp. IMCC9063,1002672,1284727,,
Klebsiella sp. PO552,1972757,5860994,,
Chryseobacterium taklimakanense,536441,2538787,,
Paracoccus sp. Arc7-R13,2500532,4040012,,
Pseudorhodobacter sp. S12M18,2500533,4246983,,
Rickettsia felis,42862,1579101,,
Mycoplasma phocirhinis,142650,865472,,
Eubacterium maltosivorans,2041044,4337501,,
Chryseolinea sp. KIS68-18,2321403,8241389,,
Bacillus pseudofirmus,79885,4239319,,
Lactobacillus helveticus,1587,2055814,,
Leptospira interrogans,173,4630763,,
Leptospira biflexa,172,3951448,,
Ehrlichia sp. HF,391036,1148904,,
Mobiluncus curtisii,2051,2146480,,
Clostridium perfringens,1502,3275424,,
Gordonia terrae,2055,5706840,,
Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',1618022,7339908,,
Sphaerobacter thermophilus,2057,3993764,,
Erysipelothrix sp. 15TAL0474,2485784,1722938,,
uncultured Termite group 1 bacterium,167965,"1,500,000",,https://pubmed.ncbi.nlm.nih.gov/18391199/
Aurantimicrobium minutum,708131,1622386,,
Eggerthella lenta,84112,3467966,,
Oscillatoria acuminata,118323,7804270,,
Slackia heliotrinireducens,84110,3166158,,
Corynebacterium uterequi,1072256,2419437,,
Chlamydia trachomatis,813,1042519,,
Clostridium argentinense,29341,4803058,,
Bacillus sp. SYJ,2529386,5520756,,
Rheinheimera sp. D18,2545632,3308353,,
Peptoniphilus sp. ING2-D1G,1912856,1601846,,
Enterococcus mundtii,53346,3504528,,
Allokutzneria albata,211114,8565619,,
Staphylococcus delphini,53344,2616750,,
Enterococcus durans,53345,2988928,,
Paenibacillus sp. FSL R5-0912,1536771,7717890,,
Sphingobium sp. RAC03,1843368,4369746,,
Vibrio scophthalmi,45658,5073110,,
Vitreoscilla sp. C1,96942,2612671,,
Methylovirgula ligni,569860,3298588,,
Rubrobacter xylanophilus,49319,3225748,,
Cupriavidus pinatubonensis,248026,7548664,,
Pseudoalteromonas aliena,247523,4594697,,
Pedobacter sp. eg,2201271,6198518,,
Blattabacterium sp. (Mastotermes darwiniensis),39768,590336,,
Microcystis panniformis,513223,4697420,,
Pseudomonas alkylphenolica,237609,5612010,,
Pseudoxanthomonas spadix,415229,3452554,,
Deinococcus wulumuqiensis,980427,3505947,,
Sodalis praecaptivus,1239307,5159425,,
Bartonella grahamii,33045,2369520,,
Acinetobacter baylyi,202950,3598621,,
Streptococcus milleri,33040,1896950,,
Sulfitobacter sp. AM1-D1,1917485,4691010,,
Halothermothrix orenii,31909,2578146,,
Flammeovirga sp. MY04,1191459,7327614,,
Bacteroides cellulosilyticus,246787,7271073,,
Lactobacillus acetotolerans,1600,1683905,,
Nonlabens sediminis,319236,"3,500,000",,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2019.02083/full
Filimonas lacunae,477680,7814405,,
Candidatus Blochmannia chromaiodes,251542,791219,,
Corynebacterium sp. 2069/2,2488819,2477061,,
Lactobacillus alimentarius,1602,2401923,,
Phaeobacter piscinae,1580596,4227039,,
Pantoea rwandensis,1076550,5775402,,
Thermosediminibacter oceani,291990,2280035,,
Meiothermus ruber,277,3098881,,
Mesoplasma florum,2151,793224,,
Pseudomonas sp. FDAARGOS_380,2018067,6499364,,
Bacillus sp. JS,1127744,4883090,,
[Clostridium] sphenoides,29370,5309474,,
Sphingorhabdus sp. Alg231-15,1922222,3622901,,
Erythrobacter sp. Alg231-14,1922225,3137103,,
Anderseniella sp. Alg231-50,1922226,4613965,,
Lactobacillus oligofermentans,293371,1845483,,
Leisingera sp. NJS204,2508307,5036933,,
Leisingera sp. NJS201,2508306,5137756,,
Microbacterium sp. No. 7,1714373,3909150,,
Faecalibaculum rodentium,1702221,2542486,,
TM7 phylum sp. oral taxon 488,713059,863309,,
Paenibacillus sp. MBLB1234,2494549,NA,,
Streptomyces chartreusis,1969,9912098,,
Methylomicrobium album,39775,4493444,,
Rhodoferax ferrireducens,192843,4969784,,
Aminobacter aminovorans,83263,5886880,,
Lactobacillus farciminis,1612,2551839,,
Lactobacillus fermentum,1613,2103331,,
Acinetobacter nosocomialis,106654,3824973,,
Sphingobium sp. EP60837,1855519,4261696,,
Bradyrhizobium oligotrophicum,44255,8264165,,
Erwinia gerundensis,1619313,4437416,,
Paenibacillus durus,44251,6053498,,
Bordetella sp. J329,1977852,3925525,,
Paenibacillus beijingensis,1126833,5749967,,
Chryseobacterium joostei,112234,4890621,,
Candidatus Phycorickettsia trachydisci,2115978,1472411,,
Streptomyces venezuelae,54571,8380320,,
Streptomyces nodosus,40318,7621081,,
Dietzia sp. oral taxon 368,712270,3679573,,
Fastidiosipila sanguinis,236753,1785891,,
Clostridiaceae bacterium 14S0207,2082193,3151275,,
Cupriavidus metallidurans,119219,6901105,,
[Eubacterium] rectale,39491,3451485,,
Candidatus Nucleicultrix amoebiphila,1509244,1838212,,
Pseudomonas sp. R4-35-07,658643,5836505,,
Pseudomonas sp. R4-34-07,658642,5924968,,
Pseudomonas sp. R2-7-07,658641,5799132,,
Acidihalobacter prosperus,160660,3359675,,
Leadbetterella byssophila,316068,4059653,,
Pseudomonas sp. R5-89-07,658644,5997145,,
Sulfuritalea hydrogenivorans,748811,3802648,,
Komagataeibacter nataicola,265960,3760301,,
Hymenobacter nivis,1850093,5027597,,
Pseudomonas veronii,76761,6852809,,
Pseudomonas rhodesiae,76760,5779157,,
Sphingomonas indica,941907,2807353,,
Betaproteobacteria bacterium GR16-43,1904640,4806848,,
Cupriavidus sp. USMAHM13,1389192,7820821,,
Halomonas subglaciescola,29571,3110197,,
Glutamicibacter halophytocola,1933880,3918424,,
Taylorella equigenitalis,29575,1704267,,
Aeromonas sp. ASNIH2,1636607,4864532,,
Aeromonas sp. ASNIH1,1636606,5079402,,
Streptomyces sp. TLI_053,1855352,9900053,,
Rickettsia rhipicephali,33992,1305467,,
Acinetobacter sp. ACNIH1,1636603,3696158,,
Neorickettsia helminthoeca,33994,884232,,
Gluconacetobacter diazotrophicus,33996,3914947,,
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1,2493669,7127907,,
Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2,2493668,6415165,,
Nitrosococcus halophilus,133539,4145260,,
Mycolicibacterium fortuitum,1766,6413573,,
Phenylobacterium zucineum,284016,4379231,,
Aeromonas sp. ASNIH4,1636609,5480196,,
Shewanella halifaxensis,271098,5226917,,
Cyanobium sp. NIES-981,1851505,2495240,,
Lactobacillus sp. HSLZ-75,1720083,1616430,,
Synechocystis sp. PCC 6714,1147,3738889,,
Pseudolabrys taiwanensis,331696,5593741,,
Nissabacter sp. SGAir0207,2126321,5030936,,
Spiroplasma floricola,216937,1284130,,
Massilia umbonata,864828,7426165,,
Collimonas arenae,279058,4709377,,
Granulicella mallensis,940614,6237577,,
Granulicella tundricola,940615,5503984,,
Spiroplasma diminutum,216936,945296,,
Paludibacter propionicigenes,185300,3685504,,
Salinibacter ruber,146919,3901694,,
Bacillus sp. FJAT-45348,2011012,4431643,,
Vibrio diabolicus,50719,5108924,,
Vibrio natriegens,691,5175153,,
Clostridium novyi,1542,2499078,,
Photobacterium damselae,38293,4427003,,
Aerococcus sanguinicola,119206,2064531,,
Clostridium scatologenes,1548,5749410,,
Fuerstia marisgermanicae,1891926,8920478,,
Wolbachia endosymbiont of Bemisia tabaci,215173,1306495,,
Citrobacter freundii,546,5171093,,
Gramella salexigens,1913577,2978889,,
Citrobacter koseri,545,4735357,,
Klebsiella aerogenes,548,5249267,,
Pantoea agglomerans,549,4692018,,
Flavobacterium sp. CJ74,2294119,4843008,,
Cellulomonas gilvus,11,3526441,,
Dechloromonas aromatica,259537,1979980,,
Microbacterium sp. 10M-3C3,2483401,3387846,,
Deinococcus puniceus,1182568,2971983,,
Mesorhizobium oceanicum,1670800,5324561,,
Carboxydothermus hydrogenoformans,129958,2401520,,
Micromonospora krabiensis,307121,7074838,,
Dokdonia sp. 4H-3-7-5,983548,3389993,,
Microbacterium sp. str. 'China',2103230,3478219,,
Corynebacterium choanis,1862358,2986773,,
Lacinutrix sp. 5H-3-7-4,983544,3296168,,
Stenotrophomonas sp. LM091,1904944,4317450,,
Selenomonas sp. oral taxon 136,713030,2458072,,
